"TABLE 1"
"Normal Spirals"
"NGC    D (0)   logHI a   log H2 a   loggas a   log SFR b   dync   References"
"224    165.2      0.66         0.58       0.68         3.13     4.6    1,5,22"
"598     55.9      1.02         0.71       1.03         2.47     4.0    2,6,23"
"628     10.2      0.77         0.41       0.93         2.18         3,4,7,24,25"
"772      7.2      0.60         0.68       0.94         2.84     7.9    5,8,26"
"925      8.9      0.85         0.05       0.91         2.44     7.3    2,4,7,25"
"1058     3.0      0.51         0.38       0.75         2.20         4,9,24"
"1569     2.5      1.30         0.10       1.33         0.80     2.0    3,10,24"
"2336     6.9      0.75         0.40       0.91         1.92     7.4    2,11,24"
"2403    15.8      0.86         0.46       0.88         2.15     3.5    3,7,27"
"2841     6.8      0.31         0.86       0.97         2.99     1.6    3,12,27"
"2903    10.7      0.55         0.57       0.86         2.31     3.1    3,4,7,25"
"2976     4.9      0.72         0.63       0.98         1.66     1.3    2,4,13,24,26"
"3031    22.2      0.82         0.46       0.85         2.50     2.7    4,6,27"
"3310     3.5      1.08         0.27       1.14         1.14     2.5    3,14,24,26"
"3338     5.9      0.75         0.06       0.81         2.56     4.0    2,8,26"
"3368     6.5      0.66         0.59       0.93         2.55     2.7    3,4,6,24"
"3486     7.1      0.85         0.20       0.88         2.46     3.2    4,13,24"
"3521     8.1      0.70         1.07       1.22         1.91     3.3    3,4,15,24,25"
"3631     4.6      0.65         1.00       1.16         1.73     4.9    2,16,24,25"
"3675     5.9      0.50         0.83       0.99         2.01     2.2    2,13,25,26"
"3726     5.4      0.89         0.59       1.06         2.28     3.2    2,7,26"
"3893     3.9      0.86         0.63       1.06         1.96     3.0    3,13,26"
"3938     5.3      0.77         1.00       1.20         2.11         2,17,24"
"4178     4.0      1.10         0.22       1.13         2.27     3.9    2,6,24"
"4189     2.3      0.78         0.85       1.12         2.09         2,6,24"
"4254     5.2      0.88         1.23       1.39         1.70     3.5    3,6,24"
"4258    15.1      0.49         0.10       0.59         2.36     4.8    3,4,7,27"
"4294     2.5      0.95         0.17       1.02         1.87     3.0    3,6,24"
"4299     1.7      1.06         0.33       1.13         1.53         3,6,24"
"4303     5.9      0.78         1.01       1.21         1.74     4.8    3,6,24"
"4321     6.8      0.56         1.06       1.14         2.07     4.5    3,6,24"
"4394     3.9      0.15         0.46       0.63         2.88     3.2    3,6,24,27"
"4402     3.1      0.28         1.01       1.08         2.80     4.2    3,6,27"
"4501     6.0      0.44         0.98       1.09         2.21     3.3    3,6,24,27"
"4519     3.1      0.97         0.33       0.99         1.98     2.9    2,6,25"
"4535     6.3      0.61         0.79       1.01         2.38     5.2    3,6,24"
"4548     5.1      0.21         0.51       0.69         2.52     3.4    3,6,24,27"
"4561     1.4      1.37         0.98       1.52         1.93     1.6    2,6,24"
"4569     7.9      0.41         0.57       0.61         2.78     5.0    3,6,24,27"
"4571     3.7      0.41         0.63       0.83         2.56     4.7    3,6,24"
"4579     5.1      0.04         0.73       0.81         2.32     2.8    3,6,24,27"
"4639     2.7      0.59         0.18       0.73         2.11     2.2    3,6,27"
"4647     3.4      0.45         0.91       1.04         2.22     3.5    3,6,26"
"4651     3.5      0.84         0.66       1.06         1.98     2.7    3,6,24,26"
"4654     4.3      0.80         0.80       1.10         2.06     3.5    3,6,24,26"
"4689     3.9      0.18         0.86       0.94         2.38     3.2    3,6,24,27"
"4698     3.7      0.13         0.01       0.25         3.55     2.5    3,6,27"
"4713     2.6      0.97         0.22       1.04         1.53     3.2    3,6,24,26"
""
"1"
"                                    TABLE 1|Continued"
"NGC       D (0 )    log HI a   log H2 a    log gas a    log SFR b    dyn c   References"
"4736       10.5         0.28         0.41         0.65          2.22      2.7     3,4,12,24"
"4826        8.0         0.40         0.64         0.67          2.47           2,4,18,24"
"5033        9.1         0.73         0.49         0.93          2.64      7.7     3,7,24"
"5055       11.0         0.68         1.00         1.17          2.32      3.8     3,4,7,24"
"5194       10.0         0.76         1.38         1.47          1.78      3.4     3,4,7,24,27"
"5236       11.0         0.88         1.63         1.70          1.41      2.8     3,19,27"
"5457       26.9         1.01         0.22         1.09          2.46      8.8     3,20,27"
"6207        2.6         0.95         0.25         1.03          1.70      2.6     3,8,24"
"6217        3.0         0.73         1.16         1.29          1.91      2.9     2,6,24"
"6503        4.9         0.61         0.53         0.89          2.08      1.7     3,4,7,24"
"6643        3.4         0.85         0.77         1.11          1.81      3.7     3,8,24,26"
"6946       10.7         0.94         1.04         1.30          1.88      3.5     3,4,21,24,25"
"7331        8.5         0.67         0.87         1.08          2.33      5.8     3,12,25,27"
""
"a Units M pc 2"
"b Units M yr 1 kpc 2"
"cUnits 108 yr"
"REFERENCES.|"
"CO Data Sources:"
"(1) Koper 1993; (2) Young et al. 1995; (3) Young et al. 1989; (4) Sage 1993;"
"HI Data Sources:"
"(5) Koper 1993; (6) Warmels 1986; (7) Wevers et al. 1986; (8) Rhee & van Albada 1996; (9) van"
"der Kruit & Shostak 1984; (10) Israel & van Driel 1990; (11) van Moorsel 1983; (12) Bosma 1978;"
"(13) Broeils & van Woerden 1994; (14) Mulder et al. 1995; (15) Casertano & van Gorkom 1991;"
"(16) Knapen 1997; (17) van der Kruit & Shostak 1982; (18) Braun et al. 1994; (19) Rogstad et al."
"1973; (20) Bosma et al. 1981; (21) Rogstad et al. 1974;"
"H Data Sources:"
"(22) Walterbos 1988; (23) Kennicutt et al. 1989; (24) Kennicutt & Kent 1983; (25) Young et al."
"1996; (26) Romanishin 1990; (27) This paper."
""
""
""
""
"2"
""
