#Name NGC    #Distance
224              0.7
598              0.8
772              33.0
925              9.5
1569              3.0
2336              33.0
2403              12.0
2903              9.0
2976              3.5
3031              3.6
3310              18.0
3338              24.0
3368              10.0
3486              0.0
3521              13.0
3631              22.0
3675              18.0
3726              14.0
3893              17.0
4178              13.8
4254              17.5
4258              7.0
4294              0.0
4303              17.5
4321              17.5
4394              17.5
4402              16.0
4501              15.0
4519              17.0
4535              17.5
4548              17.5
4561              23.0
4569              17.5              
4571              17.5
4579              17.5
4639              17.5
4647              17.5
4651              0.0
4654              17.5
4689              17.5
4698              17.5
4713               24.0
4736               4.5
5033               9.0
5055               0.0
5457               6.0
6207               16.0
6217               0.0
6503               6.0
6643               20.0
7331               14.0
